"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
2,"Jack Mudd",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
"","TOTALS",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
