"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
2,"Jack Mudd",1,0,0,0,4.00,17,18,37,55,0,0.00,0,0.00,0.00,6,2,4,2,1,0,6.00,13.50,2.25,4.50,0,0,0,0,0.750,0.176,0.125,5,1,17,0,1.000
"","TOTALS",1,0,0,0,4.00,17,18,37,55,0,0.00,0,0.00,0.00,6,2,4,2,1,0,6.00,13.50,2.25,4.50,0,0,0,0,0.750,0.176,0.125,5,1,17,0,1.000
